Title,Abstract,Selected
How do software startups approach experimentation? Empirical results from a qualitative interview study,"Software startups often make assumptions about the problems and customers they are addressing as well as the market and the solutions they are developing. Testing the right assumptions early is a means to mitigate risks. Approaches such as Lean Startup foster this kind of testing by applying experimentation as part of a constant build-measure-learn feedback loop. The existing research on how software startups approach experimentation is very limited. In this study, we focus on understanding how software startups approach experimentation and identify challenges and advantages with respect to conducting experiments. To achieve this, we conducted a qualitative interview study. The initial results show that startups often spent a disproportionate amount of time focusing on creating solutions without testing critical assumptions. Main reasons are the lack of awareness, that these assumptions can be tested early and a lack of knowledge and support on how to identify, prioritize and test these assumptions. However, startups understand the need for testing risky assumptions and are open to conducting experiments. © Springer International Publishing AG 2017.",Yes
Lean Internal Startups for Software Product Innovation in Large Companies: Enablers and Inhibitors,,Yes
Developing a conversational agent with a globally distributed team: An experience report,"In this experience report, we discuss the development of a solution that enables conflict-affected youth to discover and access relevant learning content. A team of individuals from a not-for-profit, a large multi-national technology company, and an academic institution, collaborated to develop that solution as a conversational agent named Hakeem. We provide a brief motivation and product description before outlining our design and development process including forming a distributed virtual team, engaging in user-centred design with conflict-affected youth in Lebanon, and using a minimum viable product approach while adapting Scrum for distributed development. We end this report with a reflection on the lessons learned thus far. © 2020 ACM.",Yes
Optimization of financial technology (fintech) with lean UX development methods in helping technical vocational education and training financial management,"The effectiveness and optimization of financial services is one of the things that happens when there is financial technology or fintech. Various fintech services have a strategy to attract customers. One of the strategies is to offer promos to potential customers or early customers. Promos given to customers will provide maximum benefits when they use accurate type of promo on a promo provided by fintech services. Knowledge of various fintech services and a lot of promo information will provide an effective alternative for customers to use promos. For this reason, applications or software have been developed to provide information on various e-money and e-wallet services and promos. The method used is Lean UX which consists of 4 stages namely declare assumpts, Develop MVP, run experiments, feedback and user research. The result obtained on this research is a mobile androide application that can display fintech and promo information. Lean UX development is done with 2 iterations and produces features that are validly needed by the user but still need development in terms of User Experience. © Published under licence by IOP Publishing Ltd.",Yes
Does the Lean Inception Methodology Contribute to the Software Project Initiation Phase?,"This work aims to make a comparative analysis of the Lean Inception methodology and the Scrum methodology applied in the initiation phase of the embedded software project that consists of a small greenhouse for the indoor cultivation of sage, controlled by a cell phone application. The Lean Inception methodology is a combination of Lean Startup and Design Thinking that, at the end of the process, quickly obtains the Minimum Viable Product (MVP). Some of the questions explored in this paper were how much the Lean Inception methodology interferes in the agility of the production of MVP, how much it influences in the quality of the final product and depicting advantages in using this methodology in the project initiation phase. © 2020, Springer Nature Switzerland AG.",Yes
Startup ecosystem effect on minimum viable product development in software startups,"Context: Software startups develop innovative products through which they scale their business rapidly, and thus, provide value to the economy, including job generation. However, most startups fail within two years of their launch because of a poor problem-solution fit and negligence of the learning process during minimum viable product (MVP) development. An ideal startup ecosystem can assist in MVP development by providing the necessary entrepreneurial education and technical skills to founding team members for identifying problem-solution fit for their product idea, allowing them to find the right product-market fit. However, existing knowledge on the effect of the startup ecosystem elements on the MVP development is limited. Objective: The empirical study presented in this article aims to identify the effect of the six ecosystem elements (entrepreneurs, technology, market, support factors, finance, and human capital) on MVP development. Method: We conducted a study with 13 software startups and five supporting organizations (accelerators, incubator, co-working space, and investment firm) in the startup ecosystem of the city of Oulu in Finland. Data were collected through semi-structured interviews, observation, and materials. Results: The study results showed that internal sources are most common for identifying requirements for the product idea for MVP development. The findings indicate that supporting factors, such as incubators and accelerators, can influence MVP development by providing young founders with the necessary entrepreneurship skills and education needed to create the right product-market fit. Conclusions: We conclude from this study of a regional startup ecosystem that the MVP development process is most affected by founding team members’ experiences and skill sets and by advanced technologies. Furthermore, a constructive startup ecosystem around software startups can boost up the creation of an effective MVP to test product ideas and find a product-market fit. © 2019 Elsevier B.V.",Yes
Implementing Communications and Information Dissemination Technologies for First Responders,"Despite technological advances in voice communications for disaster response, firefighter fatalities continue. This highlights the inadequacies of current communication between incident commanders and those in the fireground. Through its Major Fires Investigation Project, the United States Fire Administration (USFA) repeatedly cites inadequate communication systems as a contributing factor in first responder, rescue worker, and civilian casualties. Hence, emergency Response Communication and Information Technology must be improved. Santa Clara University's Frugal Innovation Hub (FIH) has undertaken the development of a minimum viable product (MVP) that includes a novel set of mobile applications and mobile hardware devices suitable for firefighters during emergency responses. This work is an evolution of earlier research conducted by principals of IncidentAid, P.B.C. While the long-term vision for IncidentAid has been to provide software and services that cover the entire lifecyle of disaster management, one of it's immediate efforts have been to improve communications and information solutions that reach the individual first responder. FIH's prototype is an effort towards the actualization of this IncidentAid's immediate effort. © 2019 IEEE.",Yes
Implement a Lean UX Model: Integrating Students' Academic Monitoring through a mobile app,"This study explores how a Lean method collaborates with the UX characteristics to implement a single sign on application for the 'Y Generation' age group to monitor their daily academic life. With a personalized mobile application, students will be able to monitor their academic and/or nonacademic activities that scheduled every day. Lean UX will support the development phase by creating a minimum viable product (MVP) fast as possible during several steps or iterations. The UI / UX experiment results generated through two iterations with Think Aloud Interview Testing and Software Usability Testing. The results obtained are used to represent the user acceptance during User Experience testing with increasing SUS score to 72.85 and decreasing average time completion, which indicates an increasing point of cognitive process of the users as 80% while interacting with the application. © 2019 IEEE.",Yes
A Lean Start-up approach for developing minimum viable products in an established company,"The minimum viable product (MVP) is a fundamental concept of the Lean Start-up approach as it enables a company to quickly start the learning process by integrating feedback from early adopters. Although the MVP concept has evolved over the years, its application is most often reported in a start-up context, even though established companies struggle to develop MVPs. This study reports on the experience and lessons learned at Texuna, an established company, where the software product innovation team created a process map for developing MVPs. This is the first study that allows the original MVP approach to be extended and applied to established organisations. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.",Yes
Collaborative practices for software requirements gathering in software startups,"Capturing requirements during the software development process has always been a challenge. Usually, there is a customer with a defined problem or a problem to be explored. However, when we talk about software startups, the requirements gathering process changes. The entrepreneurs need to systematically work with hypotheses and experimentations, and test them as quickly as possible, trying to understand whether these assumptions can become requirements for a system or not. In this context, entrepreneurship training programs, specially for technical students, help these entrepreneurs to understand this new way of gathering systems requirements. This paper describes how some of these practices were performed in a program for new entrepreneurs that took place in a science and technology park. Our preliminary results indicate that several collaborative practices can foster the understanding of the software requirement process for software startups. © 2019 IEEE.",Yes
Monitoring system for emergency service in a hospital environment,"The hospital emergency service remains the first choice for the vast majority of patients. The large influx of hospital emergency services, combined with the lack of health professionals, often makes the patients susceptible to excessive waiting times. As a result, their health condition may worse after triage, until they are observed by a doctor. In the developed prototype, a bracelet is placed on the patient's wrist, which reads their vital signs, accompanied by a mobile phone with an Android application, designed to send the collected vital signs data, as well as patient's location, periodically, to a server. There is a database, with the information of all patients under care and, through a dashboard, the interface is made with the health professionals. Such interface alerts the professional whenever a situation is considered critical. The prototype was positively evaluated by the usability tests carried out and could be considered a Minimum Viable Product in the business perspective. © ENBENG 2019. All Rights Reserved.",Yes
MVP development process for software startups,"This paper presents a proposal of a Minimal Viable Development Process for Software Startups that can be used during the MVP development process. Defining a methodology is a major challenge for startups because they are creative, flexible, and reluctant to include bureaucratic measures in their day-to-day procedures that may disrupt their natural attributes. Thus, to make the process simple, we defined it in 3 main phases: requirements gathering, software development, and market validation. © Springer Nature Switzerland AG 2019.",Yes
Optimization of mobile applications through a feedback-based quality assurance approach,,Yes
